Journeyid,custid,productid,Visitdate,Stage,Action,Duration
253,71,11,07-01-2023,Homepage,Click,279
254,12,12,09-02-2025,Homepage,Click,255
255,95,9,19-09-2024,ProductPage,Click,239
256,32,8,04-06-2025,ProductPage,Click,59
257,30,20,07-10-2024,productpage,Click,163
258,34,5,13-11-2023,Homepage,View,146
259,92,14,12-10-2024,Homepage,Click,16
260,100,17,15-07-2025,Homepage,View,265
261,23,5,07-10-2025,Homepage,View,239
262,52,16,07-10-2023,ProductPage,View,53
263,94,8,09-03-2024,ProductPage,View,185
264,3,2,05-09-2024,ProductPage,View,222
265,99,16,09-03-2023,Homepage,Click,235
266,57,9,11-02-2024,Homepage,View,185
267,6,7,17-04-2025,Checkout,Drop-off,NULL
268,67,8,02-02-2025,Homepage,View,285
269,9,7,14-11-2025,homepage,Click,16
270,66,9,22-06-2023,Checkout,Purchase,296
271,20,4,19-08-2025,Checkout,Drop-off,NULL
272,17,10,03-08-2023,checkout,Drop-off,NULL
273,87,1,22-03-2025,Checkout,Drop-off,NULL
274,95,19,28-09-2023,checkout,Drop-off,NULL
275,88,13,05-11-2023,Checkout,Drop-off,NULL
276,27,19,22-11-2023,Checkout,Drop-off,NULL
277,63,12,06-10-2025,ProductPage,View,300
278,78,8,07-01-2024,ProductPage,View,125
279,97,1,25-02-2025,Checkout,Drop-off,NULL
280,69,15,17-09-2023,Homepage,Click,223
281,10,4,06-01-2025,Homepage,View,236
282,67,12,10-07-2024,Homepage,View,256
283,90,14,05-01-2025,productpage,View,106
284,88,7,25-09-2023,Homepage,Click,278
285,58,4,11-06-2024,Checkout,Purchase,269
286,51,19,01-08-2023,Homepage,View,243
287,100,13,12-01-2023,Checkout,Drop-off,NULL
288,6,1,11-04-2023,Homepage,Click,128
289,90,12,15-08-2025,Checkout,Purchase,148
290,49,20,13-04-2023,Checkout,Drop-off,NULL
291,32,6,02-11-2023,homepage,Click,264
292,39,15,04-06-2023,ProductPage,Click,201
293,18,19,08-09-2023,ProductPage,Click,77
294,41,5,31-07-2023,Homepage,Click,121
295,92,19,28-03-2023,Checkout,Purchase,220
296,50,4,14-10-2024,Checkout,Drop-off,NULL
297,74,4,04-03-2024,homepage,Click,163
298,84,10,19-12-2024,Checkout,Purchase,80
299,7,9,27-10-2025,Homepage,View,195
300,91,16,20-09-2023,Checkout,Drop-off,NULL
301,84,3,15-01-2023,ProductPage,View,148
302,14,10,16-08-2023,Checkout,Drop-off,NULL
303,80,9,24-05-2024,Homepage,View,212
304,91,12,06-05-2023,ProductPage,View,43
305,74,20,04-09-2025,ProductPage,View,41
306,71,2,14-07-2023,Homepage,Click,179
307,85,11,16-02-2025,ProductPage,Click,209
308,80,12,12-03-2025,homepage,Click,178
309,38,11,16-08-2024,ProductPage,Click,176
310,73,18,04-11-2023,ProductPage,Click,216
311,33,19,10-02-2024,ProductPage,Click,67
312,9,11,15-05-2023,Checkout,Purchase,165
313,85,5,07-10-2023,ProductPage,View,140
314,75,11,29-12-2024,Homepage,View,297
315,21,6,05-11-2023,Homepage,Click,74
316,91,19,12-11-2025,homepage,Click,260
317,13,6,22-03-2023,Homepage,View,88
318,13,4,01-02-2025,Homepage,View,221
319,64,10,17-07-2025,Homepage,View,99
320,94,8,29-11-2025,Checkout,Drop-off,NULL
321,10,3,24-11-2024,Checkout,Drop-off,NULL
322,22,18,25-05-2024,ProductPage,View,18
323,44,19,08-04-2025,Homepage,View,254
324,77,9,06-03-2025,ProductPage,View,275
325,47,7,31-01-2023,Checkout,Drop-off,NULL
326,79,19,30-11-2024,Homepage,View,69
327,11,14,29-04-2024,Homepage,View,204
328,46,16,22-12-2024,ProductPage,View,52
329,88,15,24-02-2023,Homepage,Click,221
330,3,14,11-04-2024,Checkout,Purchase,249
331,2,8,07-05-2025,productpage,View,128
332,68,6,26-02-2025,Homepage,View,111
333,42,7,15-05-2024,Homepage,Click,217
334,43,18,24-09-2024,Homepage,Click,160
335,93,16,22-09-2024,ProductPage,Click,248
336,74,11,08-03-2025,Homepage,Click,237
337,71,1,19-11-2024,Homepage,Click,94
338,51,3,18-06-2024,ProductPage,Click,288
339,37,6,07-11-2024,ProductPage,Drop-off,NULL
340,63,20,22-05-2025,ProductPage,View,98
341,79,11,12-02-2025,Homepage,View,16
342,23,17,19-06-2024,ProductPage,View,109
343,50,12,07-07-2025,Checkout,Drop-off,NULL
344,77,1,05-04-2025,Homepage,View,14
345,27,6,22-12-2024,Checkout,Drop-off,NULL
346,68,11,12-06-2024,Homepage,Click,284
347,76,16,23-06-2024,ProductPage,Click,117
348,10,5,27-01-2025,Homepage,View,144
349,89,4,15-12-2023,ProductPage,View,193
350,99,18,18-02-2025,ProductPage,View,103
351,65,16,19-06-2023,Homepage,View,18
352,98,7,01-09-2025,ProductPage,View,165
353,19,10,13-07-2024,Homepage,View,60
354,34,3,21-02-2023,Homepage,Click,110
355,97,4,18-02-2025,Homepage,Click,22
356,65,18,26-01-2024,Homepage,View,234
357,11,13,02-04-2025,Homepage,View,174
358,62,11,09-08-2023,Homepage,Click,191
359,2,17,16-03-2024,Homepage,View,141
360,63,18,28-08-2023,Homepage,Click,270
361,96,9,30-10-2025,ProductPage,Drop-off,NULL
362,82,10,29-05-2023,Homepage,View,300
363,80,10,07-04-2023,ProductPage,View,123
364,48,16,24-09-2025,Homepage,View,30
365,6,5,04-06-2023,Checkout,Drop-off,NULL
366,37,2,08-09-2025,Checkout,Drop-off,NULL
367,61,18,04-03-2023,Homepage,View,272
368,26,10,28-04-2025,ProductPage,View,217
369,89,4,22-03-2023,ProductPage,View,192
370,15,15,25-07-2025,ProductPage,View,173
371,71,11,28-09-2023,ProductPage,View,227
372,76,16,15-01-2023,homepage,View,231
373,51,19,09-04-2024,Homepage,Click,219
374,67,13,29-08-2023,ProductPage,Click,114
375,23,2,08-03-2025,Checkout,Purchase,125
376,40,1,23-05-2025,productpage,View,216
377,86,10,25-06-2025,ProductPage,View,99
378,60,1,02-11-2023,ProductPage,View,124
379,92,15,25-11-2024,Checkout,Drop-off,NULL
380,1,11,29-05-2023,Checkout,Drop-off,NULL
381,2,3,23-03-2024,ProductPage,View,187
382,92,19,05-06-2025,ProductPage,View,260
383,55,6,03-01-2023,productpage,View,72
384,2,12,24-09-2024,Checkout,Drop-off,NULL
385,90,2,15-04-2025,ProductPage,View,189
386,37,6,31-07-2023,ProductPage,View,168
387,22,4,19-12-2024,Checkout,Drop-off,NULL
388,40,11,02-12-2024,Homepage,View,11
389,63,4,14-04-2023,ProductPage,View,276
390,74,7,16-07-2023,Checkout,Drop-off,NULL
391,74,13,20-04-2025,Checkout,Drop-off,NULL
392,50,13,16-03-2024,ProductPage,View,50
393,14,5,26-05-2024,ProductPage,View,120
394,39,5,16-04-2025,ProductPage,View,143
395,73,10,19-08-2025,Homepage,View,59
396,62,9,14-03-2023,ProductPage,View,238
397,54,15,17-03-2023,Homepage,Click,239
398,86,17,04-03-2025,Homepage,View,290
399,26,2,03-08-2025,ProductPage,View,108
400,28,12,30-05-2024,Homepage,View,45
401,86,20,04-04-2025,ProductPage,View,203
402,42,4,24-11-2024,Homepage,View,278
403,47,2,21-03-2023,ProductPage,View,112
404,30,13,22-04-2023,Homepage,View,112
405,97,7,21-08-2024,ProductPage,View,40
406,27,7,09-05-2025,ProductPage,View,107
407,79,6,26-02-2024,Homepage,Click,35
408,36,15,31-01-2024,Homepage,Click,182
409,90,17,28-06-2025,Homepage,Click,44
410,71,12,13-09-2023,Homepage,View,38
411,74,19,08-02-2023,Homepage,Click,231
412,3,20,08-08-2025,ProductPage,Click,74
413,29,5,09-07-2023,ProductPage,Click,235
414,24,15,06-05-2025,ProductPage,Drop-off,NULL
415,56,2,26-10-2023,Homepage,View,35
416,34,6,24-09-2025,ProductPage,View,151
417,50,12,04-02-2024,Homepage,View,205
418,97,8,04-05-2024,Checkout,Drop-off,NULL
419,52,7,06-11-2023,Checkout,Drop-off,NULL
420,25,16,04-09-2023,Homepage,Click,204
421,25,2,22-10-2023,ProductPage,Click,269
422,87,6,04-10-2024,Homepage,View,263
423,26,15,12-06-2023,Homepage,Click,121
424,94,10,14-08-2023,Checkout,Purchase,164
425,60,16,21-11-2024,Homepage,Click,287
426,60,20,26-02-2025,ProductPage,Click,158
427,98,2,08-02-2023,Homepage,View,262
428,48,12,04-12-2025,Homepage,View,242
429,100,15,02-04-2023,homepage,Click,97
430,7,20,19-01-2025,ProductPage,Click,63
431,66,12,30-08-2025,ProductPage,Click,229
432,73,3,22-08-2023,ProductPage,Click,27
433,20,18,27-11-2025,ProductPage,Click,205
434,46,4,29-09-2023,Homepage,View,94
435,45,8,20-12-2024,ProductPage,View,134
436,91,20,15-05-2024,ProductPage,View,206
437,43,14,08-06-2025,Homepage,Click,164
438,73,10,10-11-2024,Homepage,Click,45
439,87,12,29-02-2024,Homepage,View,252
440,2,7,12-10-2025,ProductPage,View,187
441,3,5,23-05-2023,ProductPage,View,51
442,74,13,25-10-2023,Homepage,View,164
443,98,5,04-09-2023,Checkout,Drop-off,NULL
444,76,18,27-01-2025,Homepage,Click,220
445,4,3,09-05-2025,ProductPage,Click,235
446,92,13,04-04-2024,Homepage,Click,108
447,64,11,15-01-2024,Checkout,Purchase,65
448,27,4,30-09-2023,ProductPage,View,279
449,15,8,10-04-2025,ProductPage,View,83
450,68,16,02-11-2023,ProductPage,View,20
451,17,14,27-11-2025,Homepage,View,142
452,86,4,07-10-2024,Checkout,Drop-off,NULL
453,49,17,13-02-2023,Homepage,View,188
454,93,3,01-06-2023,Homepage,View,268
455,79,10,13-04-2025,ProductPage,View,126
456,93,20,09-09-2023,Checkout,Drop-off,NULL
457,33,19,29-09-2023,Homepage,Click,71
458,94,2,20-01-2025,Checkout,Purchase,192
459,58,7,12-10-2024,Homepage,View,159
460,45,3,17-02-2023,Homepage,Click,96
461,19,5,05-09-2024,Checkout,Purchase,176
462,59,6,14-04-2025,ProductPage,View,199
463,32,17,03-02-2023,ProductPage,View,185
464,32,1,10-10-2023,ProductPage,View,153
465,27,1,26-08-2025,ProductPage,View,228
466,35,20,29-07-2025,ProductPage,View,200
467,32,3,14-10-2025,ProductPage,View,37
468,3,19,25-06-2025,Homepage,View,215
469,18,16,27-11-2025,ProductPage,View,33
470,76,16,23-01-2024,Homepage,Click,28
471,14,16,01-02-2024,ProductPage,Click,10
472,28,14,09-03-2025,ProductPage,Click,94
473,76,2,21-03-2025,ProductPage,Click,168
474,59,3,24-03-2023,ProductPage,Click,72
475,91,6,13-02-2025,Homepage,Click,90
476,80,4,22-08-2024,Homepage,Click,41
477,94,11,10-04-2025,ProductPage,Click,56
478,80,7,27-08-2025,productpage,Click,225
479,63,17,17-01-2023,ProductPage,Click,296
480,30,12,23-10-2025,Homepage,Click,29
481,43,7,17-06-2025,ProductPage,Click,261
482,72,4,14-12-2025,ProductPage,Click,126
483,86,17,02-10-2024,Homepage,View,153
484,98,7,30-08-2023,Homepage,Click,222
485,100,4,05-03-2023,ProductPage,Click,101
486,91,16,17-06-2023,Homepage,View,226
487,35,19,07-05-2023,Checkout,Drop-off,NULL
488,72,16,21-08-2023,Checkout,Drop-off,NULL
489,57,16,23-03-2024,Homepage,View,266
490,53,13,28-03-2025,ProductPage,View,108
491,77,19,14-05-2023,Checkout,Drop-off,NULL
492,69,20,16-05-2025,productpage,View,186
493,32,7,23-04-2024,Checkout,Drop-off,NULL
494,29,6,27-10-2024,Checkout,Drop-off,NULL
495,43,2,04-02-2023,Checkout,Drop-off,NULL
496,76,20,08-12-2024,homepage,Click,66
497,55,15,18-05-2024,Homepage,View,83
498,33,20,21-09-2024,Checkout,Drop-off,NULL
499,95,18,24-01-2024,ProductPage,View,112
500,29,8,31-07-2025,Homepage,Click,277
501,57,17,19-10-2023,Homepage,View,14
502,10,3,19-08-2023,ProductPage,View,134
503,35,9,18-02-2023,homepage,Click,239
504,4,13,08-02-2025,Homepage,Click,281
505,15,11,16-02-2023,Homepage,Click,167
506,100,17,20-08-2023,Homepage,View,69
507,90,17,02-01-2025,ProductPage,View,259
508,48,15,13-09-2024,ProductPage,View,64
509,42,16,27-11-2025,ProductPage,View,53
510,14,14,21-12-2023,Checkout,Drop-off,NULL
511,65,3,23-05-2025,ProductPage,View,40
512,67,11,04-11-2025,Homepage,Click,229
513,91,17,18-04-2024,ProductPage,Click,195
514,24,3,18-06-2024,productpage,Click,38
515,49,3,23-05-2025,Homepage,View,231
516,14,15,26-09-2023,Checkout,Drop-off,NULL
517,55,10,07-01-2025,Homepage,View,19
518,89,12,09-07-2023,Homepage,View,56
519,99,1,14-03-2024,ProductPage,View,206
520,42,16,13-07-2025,Checkout,Drop-off,NULL
521,12,13,25-03-2024,Checkout,Drop-off,NULL
522,78,19,15-06-2023,Homepage,View,101
523,85,2,08-10-2025,Homepage,Click,240
524,34,13,12-04-2023,Homepage,View,65
525,34,10,24-07-2023,ProductPage,View,61
526,87,9,17-05-2025,Checkout,Drop-off,NULL
527,66,14,20-06-2025,ProductPage,View,33
528,38,6,19-11-2024,ProductPage,View,156
529,83,14,20-09-2025,ProductPage,View,173
530,76,8,06-03-2023,Homepage,View,159
531,20,3,22-05-2025,Homepage,Click,264
532,98,12,11-06-2023,ProductPage,Click,278
533,33,11,29-01-2023,Checkout,Purchase,84
534,59,7,16-01-2025,Homepage,Click,224
535,4,7,31-03-2025,Homepage,View,135
536,55,17,30-06-2025,ProductPage,View,272
537,52,6,01-04-2025,productpage,View,291
538,25,9,11-04-2024,Homepage,View,232
539,18,1,27-02-2023,productpage,View,139
540,28,6,27-05-2024,Homepage,Click,122
541,70,1,12-11-2023,Checkout,Purchase,194
542,43,2,02-05-2023,Homepage,View,16
543,7,7,26-06-2024,Checkout,Drop-off,NULL
544,58,3,20-04-2024,ProductPage,View,89
545,81,19,24-02-2024,Homepage,View,248
546,77,2,21-03-2025,Homepage,View,257
547,15,7,24-05-2023,ProductPage,View,13
548,84,17,09-04-2023,Homepage,View,254
549,50,4,18-08-2023,Homepage,View,110
550,77,14,14-06-2025,Checkout,Drop-off,NULL
551,94,11,22-06-2023,Homepage,Click,115
552,93,7,27-10-2023,Homepage,Click,146
553,39,16,18-05-2024,Homepage,Click,119
554,95,7,17-03-2023,Homepage,View,266
555,53,5,14-09-2023,Homepage,View,247
556,97,12,15-08-2024,ProductPage,View,111
557,8,12,16-07-2025,Checkout,Drop-off,NULL
558,42,17,31-03-2024,Checkout,Drop-off,NULL
559,88,7,11-12-2025,Checkout,Drop-off,NULL
560,53,8,05-12-2024,ProductPage,View,129
561,1,20,04-07-2025,Homepage,Click,225
562,17,20,04-02-2024,Homepage,Click,46
563,65,20,18-08-2023,ProductPage,Click,283
564,19,16,02-06-2025,ProductPage,Click,252
565,26,2,16-11-2023,Homepage,Click,64
566,25,12,27-09-2025,Checkout,Purchase,188
567,97,10,02-09-2025,homepage,View,105
568,95,3,25-07-2023,Homepage,View,155
569,4,9,09-05-2025,ProductPage,View,54
570,29,5,25-11-2025,ProductPage,View,193
571,10,15,05-01-2025,Homepage,View,48
572,36,20,07-03-2024,Homepage,View,26
573,50,13,19-05-2024,Checkout,Drop-off,NULL
574,69,6,05-10-2023,Homepage,View,56
575,98,20,30-01-2023,Homepage,Click,72
576,97,17,13-08-2025,ProductPage,Click,68
577,1,1,17-12-2025,Homepage,Click,115
578,84,18,17-04-2025,Checkout,Purchase,109
579,76,6,18-02-2024,homepage,View,55
580,90,16,04-01-2025,Homepage,Click,237
581,99,9,11-02-2023,ProductPage,Click,48
582,59,2,06-06-2024,ProductPage,Click,61
583,73,15,24-10-2023,Homepage,View,96
584,75,7,19-03-2023,Homepage,View,167
585,2,9,12-01-2023,Homepage,View,250
586,68,5,06-08-2024,Homepage,View,214
587,73,20,19-01-2025,Homepage,Click,210
588,49,4,28-09-2025,Checkout,Purchase,178
589,93,11,11-11-2024,Homepage,View,190
590,34,10,25-05-2024,Homepage,View,124
591,52,6,29-06-2023,Homepage,Click,171
